impact,id,description,help,helpUrl,tags,html,target,failureSummary
serious,aria-prohibited-attr,"Ensure ARIA attributes are not prohibited for an element's role","Elements must only use permitted ARIA attributes","https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=axeAPI","cat.aria;wcag2a;wcag412;EN-301-549;EN-9.4.1.2","<div aria-live=\"polite\" aria-label=\"Bot response updates\" class=\"sr-only\" id=\"bot-live-region\"></div>",".embedded-qa-bot[data-initialized=\"true\"],#bot-live-region","Fix all of the following:\n  aria-label attribute cannot be used on a div with no valid role attribute."
serious,aria-prohibited-attr,"Ensure ARIA attributes are not prohibited for an element's role","Elements must only use permitted ARIA attributes","https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=axeAPI","cat.aria;wcag2a;wcag412;EN-301-549;EN-9.4.1.2","<div aria-live=\"polite\" aria-label=\"Bot response updates\" class=\"sr-only\" id=\"bot-live-region\"></div>","#qa-bot,#bot-live-region","Fix all of the following:\n  aria-label attribute cannot be used on a div with no valid role attribute."
minor,empty-heading,"Ensure headings have discernible text","Headings should not be empty","https://dequeuniversity.com/rules/axe/4.10/empty-heading?application=axeAPI","cat.name-role-value;best-practice","<h3 class=\"text-center overflow-wrap-anywhere group-hover--text-md-teal uppercase\"></h3>",".border-dark-teal.hover--border-orange[href$=\"ondemand\"] > .uppercase","Fix any of the following:\n  Element does not have text that is visible to screen readers\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute"
minor,empty-heading,"Ensure headings have discernible text","Headings should not be empty","https://dequeuniversity.com/rules/axe/4.10/empty-heading?application=axeAPI","cat.name-role-value;best-practice","<h3 class=\"text-center overflow-wrap-anywhere group-hover--text-md-teal uppercase\"></h3>",".border-dark-teal.hover--border-orange[href$=\"pegasus\"] > .uppercase","Fix any of the following:\n  Element does not have text that is visible to screen readers\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute"
minor,empty-heading,"Ensure headings have discernible text","Headings should not be empty","https://dequeuniversity.com/rules/axe/4.10/empty-heading?application=axeAPI","cat.name-role-value;best-practice","<h3 class=\"text-center overflow-wrap-anywhere group-hover--text-md-teal uppercase\"></h3>",".border-dark-teal.hover--border-orange[href$=\"xdmod\"] > .uppercase","Fix any of the following:\n  Element does not have text that is visible to screen readers\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute"
moderate,heading-order,"Ensure the order of headings is semantically correct","Heading levels should only increase by one","https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI","cat.semantics;best-practice","<h3 class=\"mt-0 text-white\">Announcements</h3>",".view-access-news > .view-header > .mt-0","Fix any of the following:\n  Heading order invalid"
serious,html-has-lang,"Ensure every HTML document has a lang attribute","<html> element must have a lang attribute","https://dequeuniversity.com/rules/axe/4.10/html-has-lang?application=axeAPI","cat.language;wcag2a;wcag311;TTv5;TT11.a;EN-301-549;EN-9.3.1.1;ACT","<html class=\"access-support page-node-6114 overflow-x-clip js\">","html","Fix any of the following:\n  The <html> element does not have a lang attribute"
critical,image-alt,"Ensure <img> elements have alternative text or a role of none or presentation","Images must have alternative text","https://dequeuniversity.com/rules/axe/4.10/image-alt?application=axeAPI","cat.text-alternatives;wcag2a;wcag111;section508;section508.22.a;TTv5;TT7.a;TT7.b;EN-301-549;EN-9.1.1.1;ACT","<img class=\"not-prose block h-16\" src=\"/themes/contrib/asp-theme/images/icons/ACCESS-arrrow.svg\">",".border-orange > .not-prose.h-16","Fix any of the following:\n  Element does not have an alt attribute\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute\n  Element's default semantics were not overridden with role=\"none\" or role=\"presentation\""
critical,image-alt,"Ensure <img> elements have alternative text or a role of none or presentation","Images must have alternative text","https://dequeuniversity.com/rules/axe/4.10/image-alt?application=axeAPI","cat.text-alternatives;wcag2a;wcag111;section508;section508.22.a;TTv5;TT7.a;TT7.b;EN-301-549;EN-9.1.1.1;ACT","<img class=\"not-prose block h-16\" src=\"/themes/contrib/asp-theme/images/icons/vlc.svg\">",".border-dark-teal.hover--border-orange[href$=\"video-learning-center\"] > .not-prose.h-16","Fix any of the following:\n  Element does not have an alt attribute\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute\n  Element's default semantics were not overridden with role=\"none\" or role=\"presentation\""
critical,image-alt,"Ensure <img> elements have alternative text or a role of none or presentation","Images must have alternative text","https://dequeuniversity.com/rules/axe/4.10/image-alt?application=axeAPI","cat.text-alternatives;wcag2a;wcag111;section508;section508.22.a;TTv5;TT7.a;TT7.b;EN-301-549;EN-9.1.1.1;ACT","<img class=\"not-prose block h-16\" src=\"/themes/contrib/asp-theme/images/icons/ara.svg\">","a[href$=\"ara.access-ci.org/\"] > .not-prose.h-16","Fix any of the following:\n  Element does not have an alt attribute\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute\n  Element's default semantics were not overridden with role=\"none\" or role=\"presentation\""
